coin	hourly	change	granular	time_stamp
Tezos	-0.5	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
FTX Token	-0.3	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
TerraUSD	0.5	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Maker	-0.5	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Avalanche	0.2	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
SafeMoon	-1.9	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Huobi Token	0.4	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
BitTorrent	-0.1	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Decred	-0.6	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Hedera Hashgraph	-0.4	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
The Graph	-0.3	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Kusama	-0.3	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
THORChain	-1.1	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
TrueUSD	0.2	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Waves	-0	negative	neutral (0%)	2021-06-27T11:00:06Z
Huobi BTC	-0	negative	neutral (0%)	2021-06-27T11:00:06Z
Sushi	0.1	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
